[2024-09-11 15:32:25] info: 	z2m: Logging to console, file (filename: log.log)
[2024-09-11 15:32:25] info: 	z2m: Starting Zigbee2MQTT version 1.40.1 (commit #403d3c0)
[2024-09-11 15:32:25] info: 	z2m: Starting zigbee-herdsman (0.57.3)
[2024-09-11 15:32:25] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-09-11 15:32:25] info: 	zh:zstack:znp: Serialport opened
[2024-09-11 15:32:26] info: 	z2m: zigbee-herdsman started (resumed)
[2024-09-11 15:32:26] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20210708,"transportrev":2},"type":"zStack3x0"}'
[2024-09-11 15:32:26] info: 	z2m: Groupe 1 (0x543204fffe3350b4): Not supported (EndDevice)
[2024-09-11 15:32:26] info: 	z2m: Currently 1 devices are joined.
[2024-09-11 15:32:26] info: 	z2m: Zigbee: disabling joining new devices.
[2024-09-11 15:32:26] info: 	z2m: Connecting to MQTT server at mqtt://mqtt:1883
[2024-09-11 15:32:26] info: 	z2m: Connected to MQTT server
[2024-09-11 15:32:26] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-09-11 15:32:26] info: 	z2m: Started frontend on port 8080
[2024-09-11 15:32:26] info: 	z2m: Zigbee2MQTT started!
[2024-09-11 15:33:37] info: 	z2m: Zigbee: allowing new devices to join.
[2024-09-11 15:33:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254,"value":true},"status":"ok","transaction":"9kom0-1"}'
[2024-09-11 15:35:58] info: 	zh:controller: Interview for '0xf0f5bdfffe2d1ea8' started
[2024-09-11 15:35:58] info: 	z2m: Device '0xf0f5bdfffe2d1ea8' joined
[2024-09-11 15:35:58] info: 	z2m: Starting interview of '0xf0f5bdfffe2d1ea8'
